,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,D1_a,D1_b,D2,D3,D4
0,01010200116,1,1,2,1,16,1,1,11000.0,0,5,40,0,8,15,0,100,20,4,-111.0,50,1,1,0.0,1,1
1,01010301101,1,1,3,11,1,2,1,8900.0,0,0,20,0,0,0,0,0,0,1,-111.0,5,2,2,12.0,3,3
2,01010400404,1,1,4,4,4,2,1,6200.0,0,0,20,0,0,0,0,0,0,1,-111.0,8,2,2,26.0,4,8
3,01010400804,1,1,4,8,4,2,1,741.0,0,0,10,0,0,0,0,20,7,1,-111.0,5,1,1,7.0,1,3
4,01020600113,1,2,6,1,13,1,1,18213.0,5,25,45,1,1,14,10,20,25,4,-111.0,40,1,1,0.0,1,1
5,01020801604,1,2,8,16,4,2,12,200.0,0,0,0,0,0,0,0,20,0,1,300.0,45,1,1,32.0,4,4
6,01020901705,1,2,9,17,5,2,11,200.0,0,0,0,0,0,0,0,0,0,1,300.0,35,1,1,40.0,1,7
7,01021200418,1,2,12,4,18,1,1,2150.0,1,5,45,0,0,0,0,40,30,4,-111.0,60,1,1,0.0,1,1
8,01030300103,1,3,3,1,3,1,1,16000.0,0,0,20,0,0,0,0,100,50,4,-111.0,20,1,1,0.0,1,1
9,01030600403,1,3,6,4,3,2,10,250.0,1,0,1,0,0,2,0,0,0,1,1500.0,10,1,1,25.0,1,3
10,01030800402,1,3,8,4,2,1,1,30000.0,1,80,150,1,1,0,0,50,50,4,-111.0,25,1,1,0.0,1,1
11,01041100201,1,4,11,2,1,1,1,,1,6,100,1,3,6,20,300,20,4,-111.0,30,1,1,0.0,1,1
12,01050100110,1,5,1,1,10,1,1,6200.0,0,3,20,0,16,0,0,20,5,4,-111.0,32,1,1,41.0,1,1
13,01050101108,1,5,1,11,8,2,1,1450.0,0,2,11,0,0,0,0,30,4,1,-111.0,10,2,2,10.0,3,3
14,01060100317,1,6,1,3,17,1,1,18120.0,2,0,500,0,0,0,41,300,300,4,-111.0,21,1,1,0.0,1,1
15,02070101804,2,7,1,18,4,2,1,135.0,0,0,0,0,0,0,0,10,2,2,-111.0,60,1,1,50.0,1,7
16,02070101901,2,7,1,19,1,2,2,150.0,0,0,0,0,0,0,0,8,2,2,-111.0,80,2,2,65.0,2,7
17,02070200101,2,7,2,1,1,1,1,4100.0,0,16,74,0,160,10,8,100,20,4,-111.0,50,1,1,0.0,1,10
18,02070300104,2,7,3,1,4,1,1,17000.0,2,1,50,1,0,6,0,600,200,4,-111.0,30,1,1,0.0,1,1
19,02070501103,2,7,5,11,3,2,3,120.0,0,0,0,0,0,0,0,10,0,2,-111.0,75,1,1,30.0,2,1
20,02070501302,2,7,5,13,2,2,4,150.0,0,0,0,0,0,0,0,0,0,2,-111.0,60,2,2,15.0,1,7
21,02080300102,2,8,3,1,2,2,9,220.0,0,0,0,0,0,0,0,47,0,2,-111.0,50,1,1,48.0,3,10
22,02080300404,2,8,3,4,4,2,8,200.0,0,0,2,0,0,0,0,0,0,1,-111.0,20,1,1,15.0,1,4
23,02090100104,2,9,1,1,4,1,1,2002.0,0,0,0,0,0,2,0,14,5,4,-111.0,31,2,2,40.0,2,10
24,02090200123,2,9,2,1,23,1,1,16887.0,3,5,20,0,0,12,0,200,23,4,-111.0,23,1,1,0.0,1,1
25,02100100401,2,10,1,4,1,2,6,150.0,0,0,0,0,0,0,0,0,8,2,-111.0,80,2,2,10.0,1,2
26,02100100501,2,10,1,5,1,2,7,200.0,0,0,0,0,0,0,0,50,0,2,-111.0,40,1,1,17.0,1,2
27,02100200904,2,10,2,9,4,2,5,140.0,0,0,0,0,0,1,0,0,11,2,-111.0,80,2,2,10.0,1,2
28,03110300605,3,11,3,6,5,2,15,1075.0,0,0,0,0,0,0,0,0,19,1,-111.0,1,2,2,40.0,3,3
29,03110301501,3,11,3,15,1,2,14,1922.0,0,0,0,0,0,0,0,0,25,1,-111.0,1,2,2,12.0,3,3
30,03110800110,3,11,8,1,10,1,6,19888.0,1,1,200,60,0,0,3,250,67,4,-111.0,100,1,1,0.03,2,4
31,03110800701,3,11,8,7,1,2,16,658.0,0,0,0,0,0,0,0,0,12,1,-111.0,1,2,2,30.0,3,3
32,03111700101,3,11,17,1,1,1,1,1768.0,0,0,326,0,0,0,0,100,20,1,12000.0,100,1,1,1.5,1,1
33,03111800604,3,11,18,6,4,1,1,1590.0,2,2,600,4,1,10,6,800,25,4,-777.0,99,1,1,4.0,1,1
34,03111802013,3,11,18,20,13,1,1,1808.0,0,0,800,2,0,0,12,175,50,4,2700.0,100,1,1,3.0,1,1
35,03111802013,3,11,18,20,13,1,5,6000.0,0,0,15,3,0,0,3,30,20,4,-111.0,90,2,2,12.0,1,1
36,03112101007,3,11,21,10,7,2,17,1665.0,0,0,0,0,0,0,0,0,18,1,-111.0,1,2,3,20.0,3,3
37,03120102608,3,12,1,26,8,2,18,1887.0,0,0,0,0,0,0,0,0,6,1,-111.0,1,2,2,30.0,3,3
38,03120200303,3,12,2,3,3,1,1,4200.0,0,0,0,0,0,0,3,275,53,4,12000.0,100,1,1,1.5,1,1
39,03120300709,3,12,3,7,9,2,19,1699.0,0,0,0,0,0,0,0,0,0,1,-111.0,8,2,3,40.0,3,3
40,03120302401,3,12,3,24,1,2,20,1345.0,0,0,0,0,0,0,0,0,19,1,-111.0,5,2,3,40.0,3,3
41,03121000302,3,12,10,3,2,1,1,3450.0,0,0,0,0,0,0,3,200,50,4,12000.0,100,1,1,2.0,1,1
42,03121000302,3,12,10,3,2,1,2,,0,20,1,12,0,20,1,120,75,4,-777.0,1,1,1,2.0,1,1
43,03130200801,3,13,2,8,1,2,15,220.0,0,1,2,0,0,0,0,0,0,1,-111.0,15,1,1,13.0,1,1
44,03130202504,3,13,2,25,4,2,16,250.0,0,1,0,0,0,0,0,0,15,1,-111.0,25,3,3,25.0,4,1
45,03130401201,3,13,4,12,1,2,17,313.0,0,5,2,1,0,0,0,5,15,1,-111.0,40,1,1,39.0,1,1
46,03130803001,3,13,8,30,1,2,20,225.0,0,0,0,0,0,0,0,0,0,1,-111.0,15,2,3,4.0,1,1
47,03131000101,3,13,10,1,1,1,1,8233.0,0,0,310,10,0,2,3,500,237,1,10000.0,30,1,1,1.0,1,1
48,03140400104,3,14,4,1,4,1,1,8750.0,0,0,750,1,0,0,5,250,32,6,-111.0,70,1,1,0.5,1,1
49,03140901602,3,14,9,16,2,2,21,190.0,0,0,0,0,0,0,0,0,0,1,-111.0,12,3,3,26.0,2,7
50,03141000205,3,14,10,2,5,2,18,210.0,0,1,0,0,0,0,0,0,0,1,-111.0,12,1,1,50.0,1,3
51,03141001902,3,14,10,19,2,2,19,205.0,0,0,2,0,0,0,0,0,0,1,-111.0,12,1,1,9.0,1,3
52,03141202605,3,14,12,26,5,2,2,803.0,0,1,0,6,0,0,0,0,0,1,-777.0,1,1,1,2.0,1,1
53,03141700416,3,14,17,4,16,1,3,19000.0,0,0,1,10,1,2,4,200,54,7,-111.0,100,1,1,2.0,1,1
54,03150300101,3,15,3,1,1,2,2,610.0,0,5,0,0,0,0,0,0,0,1,-111.0,30,2,2,25.0,1,7
55,03150300905,3,15,3,9,5,2,5,1141.0,0,5,0,0,0,0,0,0,15,1,-111.0,2,2,2,21.0,1,7
56,03150800103,3,15,8,1,3,1,1,6182.0,0,0,604,0,0,0,2,200,70,4,10700.0,100,1,1,1.2,1,1
57,03151900506,3,15,19,5,6,2,6,1480.0,0,3,0,0,0,0,0,0,0,1,-111.0,100,2,3,24.0,2,5
58,03152000705,3,15,20,7,5,1,1,4247.0,0,0,350,0,0,0,2,900,100,10,10800.0,15,1,1,2.0,1,1
59,03160201902,3,16,2,19,2,2,3,820.0,0,0,0,0,0,0,0,10,15,1,-111.0,15,2,2,25.0,2,3
60,03160204005,3,16,2,40,5,2,2,1089.0,0,0,0,0,0,0,0,50,40,1,-111.0,4,2,2,10.0,2,3
61,03160500103,3,16,5,1,3,1,1,7561.0,0,0,0,0,0,0,1,50,20,4,10000.0,10,1,1,1.0,1,1
62,03160600803,3,16,6,8,3,2,1,2000.0,0,0,3,3,0,0,0,200,32,1,-111.0,32,1,1,17.0,1,3
63,03161500214,3,16,15,2,14,1,1,1280.0,0,0,350,0,0,2,4,50,8,4,12000.0,99,1,1,1.7,1,1
64,03170400206,3,17,4,2,6,2,7,1480.0,0,0,3,0,0,0,0,0,0,1,-111.0,1,2,2,27.0,1,3
65,03170401804,3,17,4,18,4,2,5,1450.0,0,0,0,0,0,0,0,0,0,1,-111.0,2,2,3,45.0,2,3
66,03170403702,3,17,4,37,2,2,6,1328.0,0,0,0,0,0,0,0,10,6,1,-111.0,2,3,3,50.0,3,3
67,03170601005,3,17,6,10,5,2,4,1500.0,0,0,0,0,0,0,0,13,10,1,-111.0,3,2,2,48.0,3,3
68,03180100102,3,18,1,1,2,1,1,1316.0,0,0,300,0,0,0,3,50,5,1,10000.0,15,1,1,0.5,1,1
69,03180201302,3,18,2,13,2,2,13,200.0,1,1,0,1,0,2,0,0,4,1,700.0,20,2,2,18.0,2,2
70,03180302503,3,18,3,25,3,2,14,200.0,0,2,0,0,0,2,2,0,4,1,1000.0,60,2,2,53.0,2,3
71,03180700305,3,18,7,3,5,1,1,2853.0,0,0,50,0,0,0,4,0,0,4,12000.0,90,1,1,1.5,3,1
72,03190201401,3,19,2,14,1,2,9,1432.0,0,0,0,0,0,0,0,0,6,1,-111.0,1,2,2,55.0,3,3
73,03190202501,3,19,2,25,1,2,8,821.0,0,0,0,0,0,0,0,0,5,1,-111.0,1,2,2,20.0,4,3
74,03190402004,3,19,4,20,4,2,10,1923.0,0,0,0,0,0,0,0,14,10,1,-111.0,1,2,2,40.0,3,3
75,03200100113,3,20,1,1,13,2,1,2000.0,0,2,0,0,0,0,0,0,0,1,-111.0,50,2,2,25.0,1,1
76,03200100807,3,20,1,8,7,2,7,4000.0,0,5,0,0,0,0,0,0,0,1,-777.0,25,2,2,13.0,1,1
77,03200200209,3,20,2,2,9,1,4,5799.0,0,3,86,13,1,4,3,8,30,4,-111.0,80,1,1,3.0,2,1
78,03210101214,3,21,1,12,14,1,1,3812.0,4,25,677,15,40,40,20,900,492,4,12000.0,100,1,1,1.7,2,1
79,04220202602,4,22,2,26,2,2,1,2252.0,0,0,18,2,39,0,0,0,22,1,4500.0,10,2,2,18.0,3,6
80,04220800303,4,22,8,3,3,2,1,2535.0,0,0,3,2,27,6,0,0,75,1,800.0,25,2,2,12.0,4,7
81,04230200302,4,23,2,3,2,2,1,8910.0,0,0,62,2,60,6,0,0,0,1,4000.0,45,2,2,27.0,4,6
82,04231300304,4,23,13,3,4,2,1,7792.0,0,0,35,3,20,0,0,0,0,1,100000.0,10,2,2,48.0,4,6
83,04231301905,4,23,13,19,5,2,1,15796.0,0,0,0,4,80,0,0,0,50,1,9800.0,10,2,2,14.0,4,6
84,04240101704,4,24,1,17,4,2,1,2671.0,0,0,25,3,20,2,0,0,4,1,20000.0,75,2,2,29.0,4,1
85,04240602203,4,24,6,22,3,2,1,2954.0,0,0,4,1,16,0,0,0,9,1,10000.0,1,2,2,15.0,4,6
86,04242204001,4,24,22,40,1,2,1,3122.0,0,0,0,2,30,0,0,0,10,1,10000.0,30,2,2,32.0,4,6
87,04250800404,4,25,8,4,4,2,4,200.0,5,6,6,5,6,4,4,4,4,1,2000.0,1,3,1,12.0,1,2
88,04260801102,4,26,8,11,2,2,1,2150.0,0,0,20,3,0,0,0,0,5,1,10000.0,40,2,3,24.0,1,6
89,04260803103,4,26,8,31,3,2,1,3254.0,0,0,0,3,0,2,0,0,0,1,20000.0,60,2,2,10.0,1,6
90,04261701902,4,26,17,19,2,2,1,3425.0,0,0,0,2,0,8,0,0,0,1,20000.0,40,3,3,25.0,1,6
91,04271800107,4,27,18,1,7,1,2,1200.0,0,0,0,0,0,0,0,0,0,10,-777.0,50,1,1,2.0,1,1
92,04280201505,4,28,2,15,5,2,5,750.0,2,5,14,5,2,3,0,0,0,1,1500.0,1,1,1,19.0,2,6
93,04280203203,4,28,2,32,3,2,4,215.0,2,1,0,0,0,0,0,0,0,1,1700.0,5,1,1,15.0,2,2
94,04280900226,4,28,9,2,26,1,4,906.0,0,0,15,3,1,2,0,20,5,10,-777.0,99,1,1,1.0,2,1
95,04290100110,4,29,1,1,10,1,1,2092.0,1,1,10,4,1,4,0,100,0,4,4000.0,75,1,1,1.0,2,1
96,04290500106,4,29,5,1,6,1,6,1860.0,0,2,5,0,0,0,0,0,0,1,-111.0,70,2,2,0.1,1,1
97,04291500905,4,29,15,9,5,2,5,215.0,5,5,10,5,0,0,0,0,0,1,1400.0,5,1,1,19.0,3,2
98,04291501302,4,29,15,13,2,2,2,450.0,5,6,10,23,1,1,0,0,0,1,1500.0,2,1,1,19.0,1,5
99,04291501302,4,29,15,13,2,2,3,200.0,2,3,1,0,0,0,0,0,0,1,1500.0,4,1,1,10.0,1,5
100,04291801901,4,29,18,19,1,2,1,560.0,2,4,4,5,5,5,0,0,0,1,2000.0,2,1,1,23.0,2,2
101,04292500402,4,29,25,4,2,1,4,8576.0,0,9,0,0,0,0,0,0,0,4,-777.0,50,1,1,1.0,1,1
102,04300400106,4,30,4,1,6,1,2,10000.0,1,0,70,7,1,0,0,400,20,4,-111.0,90,2,2,1.0,2,1
103,04300800105,4,30,8,1,5,2,5,450.0,20,10,4,4,4,3,5,0,0,1,1508.0,2,1,1,10.0,1,5
104,04301301004,4,30,13,10,4,2,4,1600.0,10,6,15,2,1,1,0,0,0,1,2000.0,1,1,3,26.0,3,3
105,04311103311,4,31,11,33,11,2,10,2800.0,8,3,5,3,60,0,35,0,0,1,5000.0,1,1,1,25.0,2,6
106,04311200105,4,31,12,1,5,1,10,1662.0,0,0,82,3,0,1,0,65,43,1,15000.0,15,1,1,0.0,1,1
107,04320400608,4,32,4,6,8,2,3,215.0,2,2,15,15,2,10,23,0,0,1,1400.0,2,1,1,12.0,2,2
108,04320400608,4,32,4,6,8,2,8,180.0,1,1,80,30,20,20,20,0,0,1,5000.0,1,1,1,16.0,1,7
109,04320501610,4,32,5,16,10,2,10,215.0,3,3,32,1,6,52,16,2,23,1,1500.0,3,3,3,0.0,5,3
110,04320501610,4,32,5,16,10,2,11,200.0,1,1,181,20,8,12,0,0,0,1,12000.0,2,3,3,5.0,5,7
111,04320600302,4,32,6,3,2,2,2,400.0,0,0,50,20,12,12,44,0,0,1,16000.0,15,1,1,13.0,1,7
